N;Sum;Place;C;S;R;PD
;;;A B C D E F G H I J K;A B C D E F G H I J K;A B C D E F G H I J K;A B C D E F G H I J K
29;43;1;XXXXXXXXXXX;XXXXXXXXX-X;XXXXXXXXXXX;XXXXXXXXXXX
13;42;2;XXXXXXX-XXX;XXXXX-XXXXX;XXXXXXXXXXX;XXXXXXXXXXX
19;41;3 - 6;XXXXXXXXXXX;XXX-XXXXXXX;X-XXXXXXXXX;XXXX-XXXXXX
61;41;3 - 6;X-XXXXXXXXX;XXXXXXX-XXX;XX-XXXXXXXX;XXXXXXXXXXX
79;41;3 - 6;XXXXXXXX-XX;XXXXXXXXXXX;XXXXXXX-XXX;XXXXXXX-XXX
126;41;3 - 6;XXXXXXXXXXX;XXXXXXXXXX-;XXXXXXXXX-X;XXXXXXXXX-X
65;40;7 - 9;X-XX-XXXXXX;XXX-XXX-XXX;XXXXXXXXXXX;XXXXXXXXXXX
72;40;7 - 9;XX-XXXXXXXX;XXXXXXXXXXX;XX-XXXX-XXX;XX-XXXXXXXX
103;40;7 - 9;XXXXXXX-XXX;XXXXXXX-XXX;XXXXXXXXXXX;XXXXXX--XXX
10;38;10 - 11;X-XXXXXXXXX;X-XXXXX-XXX;XXXXXXX-XXX;XXXXXXX--XX
37;38;10 - 11;X-XXXXX-XXX;X-XXXXXXXXX;XXXXXXXXXXX;X-XXXXX-XX-
124;36;12;XX-XXXX---X;XXXXXXX-XXX;XXX-XXXXXXX;XXXXXXX-X-X
59;35;13 - 18;XX-XXXX--XX;XXXXXXX--XX;X--XXX--XXX;XXXXXXXXXXX
70;35;13 - 18;--X-XXX--XX;--X-XXXXXXX;XXXXXXXXXXX;XXXXXXX-XXX
85;35;13 - 18;XXXXX-XX-XX;XX-XXXXXXX-;XXX-XXXX-XX;X-X-XXXX-XX
102;35;13 - 18;XX-XXXX-XXX;XX-XXX--XXX;XX--XXXXXXX;XX-XXX-XXXX
123;35;13 - 18;XX-XXXX-X-X;XX-XXXX-X-X;XX-XXXXXXXX;XX-XXXXXX-X
132;35;13 - 18;XXXXX-X--XX;-XXXXXX-XXX;-XXXXXXXXX-;-XXXXXX-XXX
28;34;19 - 21;XXX--X-XXXX;-XX-XXXXXXX;-XX-XX--XXX;-XXXXXXXXXX
43;34;19 - 21;X-XXXXX-XXX;XX-XXXX--XX;X--XXXXX-XX;XXXXXXX--XX
117;34;19 - 21;XXXX-XX-XXX;X-XXXXX-XXX;X-XX-XXXX-X;X-XX-XX-XXX
54;33;22 - 23;XXX---X-XXX;XXXX-XXXXXX;XX---XXXXXX;XX--XXXX-XX
64;33;22 - 23;X-X-XXXX--X;XXX-XX--XXX;XXXXXXXXXXX;X--XXXX-X-X
41;32;24 - 27;XX-XXXXXXX-;X--XXXXX-XX;XXXXXXXX-X-;X--XXXX--X-
75;32;24 - 27;X-XXXX---XX;X-XXXX-XX-X;X---XXX-XXX;XXX-XXXXXXX
84;32;24 - 27;X--XXXXXXXX;X--XXX-XXXX;X--X-XX-XXX;X--XXXX-XXX
128;32;24 - 27;XX-X-XXXXXX;X--X-XX-XXX;XX-X-XX-XXX;XX-X-XX-XXX
88;31;28;XX-XXXXXXXX;X--XXX---XX;X-XXXX-XXXX;X--XX-X-X-X
