N;Sum;Place;C;S;R;PD
103;41;19 - 29;XXXXXXXX-XX;XX-XXXXXXXX;XXXXXXX-XXX;XXXXXXXXXXX
109;41;19 - 29;XXXXXXXXXXX;XXXXXXXXXXX;XX-XXXXX--X;XXXXXXXXXXX
124;41;19 - 29;X-XXXXX-XXX;XXXXXXXXXXX;XXXXXXX-XXX;XXXXXXXXXXX
128;41;19 - 29;XXX-XXX-XXX;XXXXXXXXXXX;XXXXXXXXXXX;XX-XXXXXXXX
18;40;30 - 38;XXXXXXXXXXX;XXX-XXX-XXX;-X-XXXXXXXX;XXXXXXXXXXX
43;40;30 - 38;XXXXXXXX-XX;X-XXX-XXXXX;XXXXXXXXXXX;XXXXXXX-XXX
50;40;30 - 38;XXXXXXXXXXX;X--X-XXXXXX;XXXXXXXXXX-;XXXXXXXXXXX
74;40;30 - 38;XXX-XXXXXXX;XXXXXXX-XXX;XX-XXXXXXXX;XXXXX-XXXXX
85;40;30 - 38;XXXXXXXXXXX;XXXXXXXXXXX;X-XXXXXX-XX;XX--XXXXXXX
110;40;30 - 38;X-XX-XXXXX-;XXXXXXXXXXX;XXXXXXX-XXX;XXXXXXXXXXX
111;40;30 - 38;XXXXXXXXX-X;XXXXXXXXXXX;-XXXXXXX-XX;XXXXXXXXX-X
112;40;30 - 38;XX-XXXXXXX-;XXX-XXXXXXX;XXXXXXX-XXX;XXXXXXXXXXX
132;40;30 - 38;XXXXXXXXXXX;XXXXXXX-XXX;XXXXXX-XXXX;--XXXXXXXXX
10;39;39 - 43;XX-XXXX-XXX;XXXXXXXXXXX;X-XXXXXXXXX;-XXXXXX-XXX
51;39;39 - 43;X-XXXXXXXXX;XX-XXX-XXXX;XXXXXXXXXXX;XXXX-XXX-XX
77;39;39 - 43;XXXXXXXXXXX;XXXXXXXX---;X-XXXXXXXX-;XXXXXXXXXXX
84;39;39 - 43;XX-XXXX-XXX;XX-XXXXXXXX;XXXXXXX-XXX;XXXXXXX-XXX
116;39;39 - 43;XXXXXXXXXXX;XXXXXXXX-XX;X--XXXXXXXX;XX--XXXXXXX
8;38;44 - 51;XXXXXXXX-XX;XXXXXXXX--X;XXXXXXXX-XX;XXXXXXXX--X
25;38;44 - 51;XX--XXXXXXX;XXXXX-XXXXX;XXX-XXXXXXX;X-X-XXXXXXX
28;38;44 - 51;-X-XXXXXXXX;XXXXXX-XXXX;XXXXXXX-XXX;XXXXXXX--XX
41;38;44 - 51;X--XXXXXXXX;XXXXX-XXXXX;XXXX-XX-XXX;XX-XXXXXXXX
87;38;44 - 51;XXX-XXXXXXX;X--XXXX-XXX;XXXXXXXXXXX;XXXX-XX-XXX
88;38;44 - 51;X-XXXXXXXXX;XX-XXX---XX;XX-XXXXXXXX;XXXXXXXXXXX
90;38;44 - 51;XXXX-XXXXXX;XXX-XX-X-XX;XXXXXXXX-XX;XXXXXXXX-XX
127;38;44 - 51;XXXXX-XXX-X;XXXX-XXXXXX;XXXX-XXXXXX;XXXX-XX-XXX
4;37;52 - 63;-XX-XXXXXX-;XXXXXXXX-XX;XXXXXXXX-XX;X-XXXXXX-XX
7;37;52 - 63;XXXXXXXXXXX;-XXXXXXXXX-;XXXXXXX-XXX;X---XXXXXX-
22;37;52 - 63;XXXXXXX-XX-;XXXXXXX-XXX;X-XXXXXXXXX;--XXXXX-XXX
26;37;52 - 63;XXXXX--XXXX;-XXXXXXX--X;XXXXXXXXXXX;XXXXXX-XX-X
35;37;52 - 63;XXX-XXXX-XX;-X-XXXXXXXX;-XX-XXXXXXX;XXXX-XXXXXX
44;37;52 - 63;-XXX-XXX-XX;XXXXXXX--XX;XXXXXXXX-XX;XXXXXXXX-XX
62;37;52 - 63;XXXXXXXXXXX;XXX-XXXX-X-;-XXXXXXXXX-;X-XXXXXX-XX
66;37;52 - 63;XXXXXXX--XX;XXXX-XXX-XX;XXXXXXXX-XX;XX-XXXXX-XX
92;37;52 - 63;XXXXXXXX-XX;XX-XX-X--XX;XXXXXXXX-XX;XXXXXXXX-XX
95;37;52 - 63;X-XXXXXXXX-;XXXX-XXXXXX;XXXX-XXXXXX;XXXXXXX---X
102;37;52 - 63;XXXXXXX-XXX;XX--XXXXXXX;-XXXXXX-XXX;XX--XXXXXXX
115;37;52 - 63;XX----X-XXX;XXXXXXXXXXX;XX-XXXX-XXX;XXXXXXXXXXX
30;36;64 - 70;--XXXXXXXXX;XXXXXX--X-X;XXX-XXX-XXX;XXXX-XXXXXX
39;36;64 - 70;XXXXXXX-XX-;X--XX-X-X-X;X-XXXXXXXXX;XXXXXXXXXXX
76;36;64 - 70;X-XX-XXXXXX;X-XXX--XXXX;XXXXXX-XXXX;XXX-XXX-XXX
96;36;64 - 70;XX-XX--X-XX;XXX-XXX-XXX;XXX-XXX-XXX;XXXXXXXXXXX
106;36;64 - 70;XXXXXXXXX-X;XXXXXXXX-XX;XX-XXX-XX--;XXXXXX-XX-X
131;36;64 - 70;XXXXXXXXXX-;XXXXXXX-XXX;XX-XXXX---X;XXXXXX-X-XX
133;36;64 - 70;X--XXXXXXX-;XX-XXXXXXXX;-XXXXXXXX-X;X-XXX-XXXXX
15;35;71 - 72;XXXXXXXX-XX;XXXXX-XX-XX;--XXXX-XX-X;XXXXXX--XXX
82;35;71 - 72;XXXXXXXX-XX;-XXX--XXX-X;-XXXX-XXXXX;-XX-XXXXXXX
12;34;73 - 80;XXXXXXXXXX-;-X-XXX-X-X-;XXXXXX-XXXX;XXXX-X-X-XX
42;34;73 - 80;-XXXX-XXXXX;XX---XXX--X;XXXXXXX-XXX;XX--XXXXXXX
48;34;73 - 80;X-X-XX-XXXX;XXXXXXXXXX-;XX--XXX-XX-;XXXXXX-XXX-
52;34;73 - 80;XXX--XX-X-X;XXX-XXXXXXX;--X-XXXXX-X;XXX-XXXXXXX
94;34;73 - 80;X-XXXXXXXXX;X-XXX--X--X;X-X-XXXX-XX;XXXXXX-XXXX
97;34;73 - 80;XXX-XXXXXX-;--XXXXX-XXX;XX-XXX-XXX-;XX-XXXX-XXX
98;34;73 - 80;X-XX-X--XXX;XXXX-X-XXX-;-X-XXXXXXXX;-XXXXXXXXXX
129;34;73 - 80;XXX-XXXXXX-;XX--XXXXXXX;X-X-XXXXXXX;XX-X-XX-XX-
6;33;81 - 85;XX--X-XXXXX;XXXXX--XXXX;-XX-XXXXXX-;XX--X-XXXXX
9;33;81 - 85;-XXXXX-XX--;X-XXXXXXXX-;X--XXX-XXX-;XXXXXXXXXX-
11;33;81 - 85;--XXXXXXX-X;--XXX-XXXXX;-XXXXXXX-XX;X-XXX-XX-XX
46;33;81 - 85;XXX-XXX-XXX;XXX-XXXXXXX;-X----XXXXX;-XXXX--XXXX
49;33;81 - 85;XXXX-XXXX--;XXXX-XXXX--;XXXXX-XXXXX;X-XX-XX-X-X
1;32;86 - 90;XXXXX-XXX-X;XX-X-X-XX--;XXX--XXXXXX;XXXX--X-XXX
53;32;86 - 90;XX--XXXX--X;X-XXX-XXX-X;XXXXX-XXXXX;XXXXX-XX---
63;32;86 - 90;XXXX-XXXXXX;X--X-XX--XX;XXXXX--XXX-;-XX--XXXXXX
86;32;86 - 90;-XXXX-XX-X-;-XXXXXXXXX-;XXXXX-XX-X-;X-XXXXXX-X-
107;32;86 - 90;XXXXXX-XXXX;-XX---XXXXX;XXXX-XXX-XX;-XX--XXXX--
89;31;91;XXX---XXXXX;XXX-XXXX-X-;-X-XX-XXXX-;-XXX--XXXXX
31;30;92 - 97;XXXX-XXXXXX;--X--X-XXXX;XX-X-X-XX-X;--X-XX-XXXX
45;30;92 - 97;-XXXXX-XXXX;-XXXX---XX-;--XXXX-XXXX;--XXXXX-XX-
71;30;92 - 97;-X-XX-XXXXX;XX-X-X-XXXX;-XXX--XXX-X;XX-X--X-XXX
91;30;92 - 97;X-X-XX-XX-X;X-XXXX-XXX-;XXX-X---X-X;XXXXX-XXXX-
119;30;92 - 97;XXXXX---XXX;X--XXXXXX-X;XXX-X--XX-X;X-XXX--XX-X
130;30;92 - 97;XXXXXX--X--;XX-X-XXXX--;XXXXXXXXX-X;XX-X-X-XX--
57;29;98 - 102;-X-XX-XX-XX;XX-XXXXX--X;X-XX--X-XX-;--XXX-XXXXX
78;29;98 - 102;XXX-XX-X-X-;XXX-XXXX-XX;XXXXXX---X-;X-X-XX-X-X-
99;29;98 - 102;XX--XXXX-X-;X-X-XXXX-X-;X-XX-XXX-XX;--XX--XXXXX
101;29;98 - 102;-X-X--XX--X;-XXXXXXX--X;X-XXXXXX-XX;-X-X-XXX-XX
118;29;98 - 102;X--XX-XXXX-;XXXX--X-XX-;XXXX-XXXX-X;XX--X-X--XX
34;28;103;XXXX-X--XXX;--XXXXXX-XX;XX--XX-X-X-;-XX-XX-X--X
40;27;104 - 105;--X--XXXX-X;XXX-XXXXX-X;-X-XXXXXXX-;-----XX-XX-
125;27;104 - 105;XX-XXX-XX--;---XXXXX-XX;X---X-XX--X;XXX-XX-XX-X
2;25;106 - 109;X-X----X--X;XXX--X--XXX;XX-X---XX-X;-XXXXX-XX-X
17;25;106 - 109;XXXX-X-X--X;-XXXX-XXX-X;--XX-XXX-X-;-X-X-X-X---
23;25;106 - 109;XXX-X-XX-XX;X---XX----X;XX--X-XX--X;XXX-X--X-XX
120;25;106 - 109;X-XXXXXXX--;----XXX-X-X;--X----XX-X;XX-XXX-XX-X
27;24;110 - 112;XX-X-X---XX;XX--X--XXXX;XX-X---X---;XX-X--XXXX-
67;24;110 - 112;X-XX-X-XX-X;XXX--XX-X-X;--X--X-XX--;-XX-XXX-X--
80;24;110 - 112;-X-X--XXX-X;--XX--XXX--;-X-X--XXX--;XXXXXXXX---
24;20;113;-XX-----X-X;-XXX---XXXX;-XXX-X--XXX;--X-----X--
55;19;114;--XXXX-XX-X;XXXX-----X-;-X-----XXXX;-X-X-------
56;18;115 - 116;X-X-X--X--X;--X-X--XX--;--X-X--XX--;XXX-X----X-
83;18;115 - 116;---X---XX--;-XXX----XX-;XXX----XX--;XXXX----X--
16;17;117 - 118;-X-X----XX-;X----XXX---;XXX-X-X--X-;------XX-X-
33;17;117 - 118;-----X----X;-XX----XXX-;X-XX---XX--;--XX--XXX--
122;16;119;-------XXX-;--XX--XXX--;X--X--XX--X;---X---XX--
69;15;120;-X-XX-X-XX-;--XX-X-XX--;--------X--;----X--XX--
60;12;121;--X----X---;--X----XX--;XXX----XX--;X------X---
38;10;122;-XX--------;-X------XXX;-XX-----X--;--------X--
5;6;123;---XX-----X;----X---X--;-----------;----X------
