N;Sum;Place;C;S;R;PD
;;;A B C D E F G H I J K;A B C D E F G H I J K;A B C D E F G H I J K;A B C D E F G H I J K
29;44;1 - 7;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXXXX
37;44;1 - 7;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXXXX
58;44;1 - 7;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXXXX
68;44;1 - 7;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXXXX
70;44;1 - 7;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXXXX
75;44;1 - 7;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXXXX
123;44;1 - 7;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXXXX
13;43;8 - 10;XXXXXXXXXXX;XXXXXXX-XXX;XXXXXXXXXXX;XXXXXXXXXXX
20;43;8 - 10;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXX-XXX;XXXXXXXXXXX
36;43;8 - 10;XXXXXXXXXXX;XXXXXXXXXXX;X-XXXXXXXXX;XXXXXXXXXXX
14;42;11 - 18;XXXXXXX-XXX;XXXXXXXXXXX;XXXX-XXXXXX;XXXXXXXXXXX
19;42;11 - 18;XXXXXXXXXX-;XXXXXXXXXXX;XXXXXXX-XXX;XXXXXXXXXXX
61;42;11 - 18;XX-XXXXX-XX;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXXXX
65;42;11 - 18;XXXXXXX-XXX;XXXXXXXXXXX;X-XXXXXXXXX;XXXXXXXXXXX
72;42;11 - 18;XXXXXXXXXXX;XXXXXXX-XX-;XXXXXXXXXXX;XXXXXXXXXXX
117;42;11 - 18;XXXXXXXXXXX;X-XXXXXXXXX;X-XXXXXXXXX;XXXXXXXXXXX
121;42;11 - 18;-XXXXXXXXXX;XXXXXXXXXXX;XXXXXXXX-XX;XXXXXXXXXXX
126;42;11 - 18;XXXX-XXXXXX;XXXXXXXXXXX;XXXXXXXXXXX;XXXXXXXXX-X
21;41;19 - 29;XXXXXXXXXXX;-XXXXXXXXXX;XXXXXXXXXXX;X-XXXXX-XXX
32;41;19 - 29;XX-XX-XXXXX;XXXXXXXXXXX;XXXXXXXXXXX;XX-XXXXXXXX
54;41;19 - 29;X-XXXXXXXXX;XXXXXXX-XXX;XXXXXXX-XXX;XXXXXXXXXXX
59;41;19 - 29;-XXXXXX-XXX;XXXXXXXXXXX;XX-XXXXXXXX;XXXXXXXXXXX
64;41;19 - 29;XXXXXXX-XXX;XXXXXXXXXXX;XXX-XXXXXXX;XXXXXXX-XXX
79;41;19 - 29;XXXXXXX--XX;XXXXXXXXXXX;XXXXXXX-XXX;XXXXXXXXXXX
100;41;19 - 29;-XXXXXXXXXX;XXXXXXXXXXX;XXXXXXXX-XX;X-XXXXXXXXX
