N;Place;A;B;C;D;E;F;G;H;I;J;K
72;1;1;1;7;1;1;1;2;7;1;1;1
29;2;3;2;3;2;7;3;3;3;2;7;7
37;3;2;4;1;4;4;2;5;4;3;6;3
79;4;4;3;2;7;6;4;6;1;4;5;4
43;5;6;5;4;5;5;6;4;2;5;3;5
13;6;7;6;5;6;3;5;1;6;7;4;2
10;7;5;7;6;3;2;7;7;5;6;2;6
