N;Place;A;B;C;D;E;F;G;H;I;J;K
72;1;1;1;7;1;1;1;1;6;1;1;1
29;2;3;3;3;2;5;2;2;3;3;7;5
37;3;2;4;1;4;2;3;4;4;2;6;2
79;4;5;2;5;7;7;4;6;2;4;5;4
10;5;4;7;4;3;4;7;7;5;5;2;6
13;6;6;6;6;5;3;5;3;7;7;4;3
43;7;7;5;2;6;6;6;5;1;6;3;7
